X_1 Y_1 X_2 Y_2 X_3 Y_3 X_4 Y_4 X_5 Y_5 X_6 Y_6 X_7 Y_7 X_8 Y_8 X_9 Y_9 X_10 Y_10 
6.51488 1.63731 3.67455 1.76043 0.601433 2.36994 0.485667 8.70211 5.01242 4.99502 2.65121 11.3636 9.32688 5.90832 5.3344 6.00199 7.22963 6.09935 3.89841 4.04254
6.60571 1.70027 3.78531 1.72586 0.643781 2.27192 0.443905 8.63275 5.06994 5.00242 2.57789 11.3412 9.31087 6.01956 5.25508 6.00505 7.18781 6.19345 3.93187 3.97905
6.69464 1.76653 3.89832 1.69476 0.688094 2.17515 0.403085 8.56265 5.13835 5.02313 2.50482 11.3178 9.29233 6.12959 5.17387 6.00243 7.14116 6.28477 3.96741 3.91811
6.78154 1.83606 4.01347 1.6673 0.734337 2.07966 0.363204 8.49181 5.21716 5.06101 2.432 11.2934 9.27131 6.23834 5.09111 5.99323 7.08987 6.3732 4.00494 3.85977
6.86625 1.90879 4.13064 1.64364 0.782477 1.98553 0.324254 8.42024 5.30398 5.11957 2.35944 11.2681 9.24783 6.34576 5.00765 5.97662 7.03412 6.45865 4.04437 3.80407
6.94863 1.98466 4.2497 1.62396 0.832482 1.89279 0.286229 8.34794 5.39309 5.20059 2.28715 11.2418 9.22195 6.45182 4.92508 5.9522 6.97402 6.5411 4.0857 3.751
7.0285 2.0636 4.37051 1.60843 0.884318 1.80148 0.249125 8.27493 5.47486 5.30287 2.21516 11.2147 9.19372 6.55646 4.84555 5.92046 6.9097 6.62057 4.12893 3.70051
7.1057 2.14554 4.49293 1.59719 0.937949 1.71164 0.212941 8.20122 5.53819 5.42243 2.14348 11.1866 9.16319 6.65966 4.77093 5.88263 6.8413 6.69714 4.17409 3.65253
7.18005 2.23043 4.61681 1.59041 0.993336 1.6233 0.177683 8.12684 5.57536 5.55387 2.07212 11.1576 9.13044 6.76137 4.70218 5.84021 6.76903 6.7709 4.22118 3.60698
7.25138 2.31821 4.742 1.58821 1.05044 1.53649 0.143364 8.0518 5.5838 5.69123 2.00112 11.1278 9.09556 6.86154 4.63947 5.79455 6.69314 6.84192 4.27019 3.56379
7.31951 2.40881 4.86832 1.59073 1.10921 1.45124 0.109999 7.97613 5.56466 5.82795 1.93049 11.097 9.05861 6.96012 4.58236 5.74678 6.61397 6.91026 4.32108 3.5229
7.38426 2.50219 4.99561 1.59806 1.16961 1.36756 0.0776061 7.89983 5.52109 5.95719 1.86025 11.0654 9.01967 7.05706 4.53014 5.69773 6.53186 6.97588 4.3738 3.48424
7.44547 2.59827 5.12365 1.6103 1.2316 1.28549 0.0462038 7.82291 5.45726 6.07298 1.79039 11.0328 8.97878 7.1523 4.48198 5.64789 6.4472 7.03865 4.42828 3.44778
7.50298 2.69699 5.25224 1.62756 1.29511 1.20504 0.0158072 7.74539 5.37743 6.17158 1.72095 10.9994 8.936 7.2458 4.43716 5.59743 6.36033 7.09832 4.48446 3.41347
7.55662 2.79825 5.38116 1.64991 1.36012 1.12624 -0.0135716 7.66729 5.28533 6.25177 1.65192 10.9651 8.89135 7.33751 4.39514 5.54635 6.27158 7.15464 4.54227 3.38131
7.60622 2.90194 5.51016 1.67742 1.42658 1.04911 -0.0419231 7.58859 5.18382 6.31406 1.58331 10.9299 8.84488 7.42741 4.35559 5.49455 6.18122 7.20734 4.60163 3.35127
7.65162 3.00796 5.63899 1.71017 1.49445 0.973659 -0.0692397 7.50933 5.07499 6.35968 1.51514 10.8938 8.79661 7.51546 4.31833 5.44192 6.08952 7.25622 4.66248 3.32334
7.69263 3.11616 5.76737 1.74821 1.56369 0.899903 -0.0955149 7.42951 4.96037 6.38995 1.4474 10.8569 8.74658 7.60165 4.28328 5.38837 5.9967 7.3011 4.72474 3.29752
7.72909 3.22639 5.89503 1.79159 1.63426 0.827856 -0.120743 7.34913 4.84112 6.40605 1.38011 10.8192 8.69481 7.68596 4.25043 5.33387 5.90297 7.34188 4.78833 3.27378
7.76081 3.33846 6.02164 1.84037 1.70614 0.757532 -0.144918 7.26822 4.71816 6.4089 1.31328 10.7806 8.64134 7.76837 4.21982 5.27839 5.80855 7.37851 4.85317 3.25211
7.78762 3.45219 6.1469 1.89456 1.77927 0.68894 -0.168035 7.18678 4.59232 6.39924 1.24692 10.7412 8.58619 7.84887 4.19149 5.22197 5.71363 7.41095 4.91919 3.23249
7.80935 3.56733 6.27047 1.95419 1.85363 0.622093 -0.19009 7.10483 4.46438 6.37759 1.18102 10.701 8.5294 7.92745 4.16551 5.16467 5.6184 7.43923 4.9863 3.21489
7.82584 3.68364 6.392 2.01928 1.92919 0.556998 -0.211078 7.02237 4.33511 6.34441 1.11562 10.66 8.47098 8.00411 4.14194 5.10659 5.52303 7.46336 5.05444 3.19927
7.83694 3.80084 6.51113 2.08981 2.00592 0.493664 -0.230995 6.93942 4.20537 6.30006 1.05071 10.6183 8.41098 8.07884 4.12083 5.04782 5.42767 7.48341 5.12352 3.18561
7.84251 3.91861 6.6275 2.16577 2.08378 0.432098 -0.249838 6.85599 4.07606 6.24489 0.986307 10.5758 8.34942 8.15164 4.10219 4.98849 5.33249 7.49945 5.1935 3.17385
7.84243 4.0366 6.74071 2.24714 2.16274 0.372307 -0.267606 6.77209 3.94815 6.1793 0.922426 10.5325 8.28633 8.22249 4.08605 4.92872 5.23763 7.51154 5.26432 3.16396
7.8366 4.15446 6.85038 2.33386 2.24278 0.314297 -0.284295 6.68774 3.82272 6.1037 0.85908 10.4886 8.22174 8.29141 4.0724 4.86863 5.14322 7.51978 5.33595 3.1559
7.82493 4.27178 6.95611 2.42588 2.32387 0.258074 -0.299907 6.60296 3.70086 6.0186 0.796284 10.4439 8.15567 8.35839 4.06121 4.80831 5.04938 7.52426 5.40837 3.14964
7.80738 4.38813 7.05747 2.52312 2.40597 0.203643 -0.314441 6.51775 3.5837 5.92455 0.734053 10.3985 8.08816 8.42342 4.05245 4.74783 4.95623 7.52506 5.48157 3.14517
7.78393 4.50308 7.15407 2.62547 2.48907 0.15101 -0.327897 6.43214 3.47232 5.82216 0.672401 10.3524 8.01923 8.48652 4.0461 4.68727 4.86387 7.52229 5.55557 3.14248
7.75457 4.61614 7.24546 2.73282 2.57313 0.100178 -0.340279 6.34616 3.36771 5.71209 0.611345 10.3057 7.94891 8.54768 4.04213 4.62666 4.77242 7.51604 5.6304 3.1416
7.71935 4.72684 7.33124 2.845 2.65813 0.051152 -0.351587 6.25982 3.27074 5.59498 0.550899 10.2583 7.87723 8.60691 4.04054 4.56605 4.68197 7.50639 5.70612 3.14256
7.67833 4.83469 7.41096 2.96184 2.74405 0.00393605 -0.361822 6.17316 3.18214 5.4715 0.491079 10.2102 7.80422 8.6642 4.04132 4.50549 4.5926 7.49343 5.78277 3.14545
7.63161 4.93919 7.48422 3.08311 2.83085 -0.0414658 -0.370984 6.0862 3.10248 5.34225 0.431898 10.1615 7.72991 8.71957 4.04449 4.44501 4.50442 7.47726 5.86043 3.15039
7.57932 5.03984 7.5506 3.20856 2.91851 -0.0850493 -0.379072 5.99899 3.0322 5.20782 0.37337 10.1121 7.65432 8.773 4.05005 4.38468 4.41751 7.45795 5.93916 3.15754
7.52163 5.13615 7.60969 3.33785 3.00702 -0.12681 -0.386082 5.91156 2.97161 5.06876 0.315506 10.062 7.5775 8.82452 4.05802 4.32457 4.33195 7.43559 6.01904 3.1671
7.45874 5.22764 7.66113 3.47063 3.09633 -0.166742 -0.392007 5.82395 2.92093 4.92555 0.258317 10.0114 7.49946 8.87411 4.06841 4.26475 4.24781 7.41025 6.1001 3.17931
7.39087 5.31382 7.70458 3.60645 3.18644 -0.204839 -0.396837 5.73621 2.88034 4.77868 0.201814 9.96003 7.42025 8.92179 4.08123 4.20532 4.16518 7.382 6.18238 3.19447
7.31829 5.39425 7.73972 3.74479 3.27731 -0.241095 -0.40056 5.64838 2.84994 4.62858 0.146004 9.90808 7.33989 8.96755 4.09646 4.14636 4.08412 7.35091 6.26587 3.2129
7.24131 5.46848 7.76632 3.88507 3.36893 -0.2755 -0.40316 5.5605 2.82984 4.4757 0.0908956 9.85549 7.25843 9.01139 4.11411 4.08799 4.0047 7.31706 6.35053 3.23498
